Number,areaaName,attaackNature,MartyrsNumber,Date
487,Surab,Terrorist Attack,6,"September 23, 2022"
488,Surab,Terrorist Attack,7,"July 5, 2022"
489,Khuzdar,Terrorist Attack,9,"June 19, 2022"
490,Quetta,Terrorist Attack,7,"June 14, 2022"
491,Turbat,Terrorist Attack,9,"June 2, 2022"
492,Chamman,Terrorist Attack,11,"May 28, 2022"
493,Chitral,Terrorist Attack,12,"May 18, 2022"
494,Sibbi,Terrorist Attack,3,"May 5, 2022"
495,Khuzdar,Terrorist Attack,8,"March 26, 2022"
496,Chamman,Terrorist Attack,1,"March 3, 2022"
497,Las bela,Terrorist Attack,12,"March 3, 2022"
498,Chamman,Terrorist Attack,7,"February 8, 2022"
499,Quetta,Terrorist Attack,4,"February 8, 2022"
500,Turbat,Terrorist Attack,8,"February 6, 2022"
501,Kashmir,Terrorist Attack,3,"February 5, 2022"
502,Lower Dir,Terrorist Attack,24,"February 4, 2022"
503,Quetta,Terrorist Attack,2,"February 3, 2022"
504,Turbat,Terrorist Attack,3,"February 3, 2022"
505,Khuzdar,Terrorist Attack,4,"February 3, 2022"
506,Chamman,Terrorist Attack,5,"February 3, 2022"
507,Dera Murad Jamali,Terrorist Attack,6,"January 22, 2022"
508,Gawadar,Terrorist Attack,7,"January 19, 2022"
509,Dera Allah Yar,Terrorist Attack,8,"January 12, 2022"
510,Usta Muhammad,Terrorist Attack,9,"January 12, 2022"
511,Sui,Terrorist Attack,11,"January 10, 2022"
512,Sibbi,Terrorist Attack,12,"January 9, 2022"
513,Loralai,Terrorist Attack,23,"December 29, 2021"
514,Tump,Terrorist Attack,11,"December 16, 2021"
515,Nushki,Terrorist Attack,9,"November 3, 2021"
516,Zohb,Terrorist Attack,8,"October 17, 2021"
517,Kharan,Terrorist Attack,7,"October 11, 2021"
518,Chiktan,Terrorist Attack,6,"October 3, 2021"
519,Khanozai,Terrorist Attack,5,"September 27, 2021"
520,Quetta ,Terrorist Attack,4,"September 25, 2021"
521,Turbat,Terrorist Attack,11,"September 15, 2021"
522,Khuzdar,Terrorist Attack,12,"September 11, 2021"
523,Chamman,Terrorist Attack,11,"August 29, 2021"
524,Dera Murad Jamali,Terrorist Attack,11,"August 27, 2021"
525,Gawadar,Terrorist Attack,14,"August 27, 2021"
526,Dera Allah Yar,Terrorist Attack,15,"August 21, 2021"
527,Usta Muhammad,Terrorist Attack,7,"August 12, 2021"
528,Sui,Terrorist Attack,8,"July 4, 2021"
529,Sibbi,Terrorist Attack,9,"June 28, 2021"
530,Loralai,Terrorist Attack,4,"June 25, 2021"
531,Tump,Terrorist Attack,5,"June 14, 2021"
532,Nushki,Terrorist Attack,6,"June 2, 2021"
533,Zohb,Terrorist Attack,2,"February 7, 2021"
534,Kharan,Terrorist Attack,3,"January 12, 2021"
535,Chiktan,Terrorist Attack,9,"January 8, 2021"
536,Khanozai,Terrorist Attack,12,"January 2, 2021"
537,Quetta,Terrorist Attack,11,"December 13, 2020"
538,Turbat,Terrorist Attack,10,"December 12, 2020"
539,Khuzdar,Terrorist Attack,9,"December 11, 2020"
540,Chamman,Terrorist Attack,8,"November 26, 2020"
541,Dera Murad Jamali,Terrorist Attack,7,"November 25, 2020"
542,Gawadar,Terrorist Attack,6,"November 25, 2020"
543,Dera Allah Yar,Terrorist Attack,23,"November 20, 2020"
544,Usta Muhammad,Terrorist Attack,11,"November 16, 2020"
545,Sui,Terrorist Attack,10,"November 16, 2020"
546,Sibbi,Terrorist Attack,9,"November 14, 2020"
547,Loralai,Terrorist Attack,8,"November 14, 2020"
548,Tump,Terrorist Attack,7,"October 27, 2020"
549,Nushki,Terrorist Attack,6,"October 27, 2020"
550,Zohb,Terrorist Attack,5,"October 24, 2020"
551,Kharan,Terrorist Attack,4,"October 17, 2020"
552,Chiktan,Terrorist Attack,3,"September 21, 2020"
553,Khanozai,Terrorist Attack,2,"June 30, 2020"
554,Quetta,Terrorist Attack,11,"June 25, 2020"
555,Turbat,Terrorist Attack,12,"June 1, 2020"
556,Khuzdar,Terrorist Attack,1,"March 4, 2020"
557,Chamman,Terrorist Attack,13,"February 18, 2020"
558,Dera Murad Jamali,Terrorist Attack,15,"February 3, 2020"
559,Gawadar,Terrorist Attack,1,"November 11, 2019"
560,Dera Allah Yar,Terrorist Attack,2,"September 19, 2019"
561,Usta Muhammad,Terrorist Attack,3,"September 8, 2019"
562,Sui,Terrorist Attack,4,"August 31, 2019"
563,Sibbi,Terrorist Attack,5,"August 19, 2019"
564,Loralai,Terrorist Attack,6,"July 28, 2019"
565,Tump,Terrorist Attack,7,"July 27, 2019"
566,Nushki,Terrorist Attack,12,"July 26, 2019"
567,Zohb,Terrorist Attack,14,"July 26, 2019"
568,Kharan,Terrorist Attack,11,"July 21, 2019"
569,Chiktan,Terrorist Attack,13,"July 16, 2019"
570,Khanozai,Terrorist Attack,11,"July 7, 2019"
571,Quetta,Terrorist Attack,1,"July 6, 2019"
572,Turbat,Terrorist Attack,2,"July 5, 2019"
573,Khuzdar,Terrorist Attack,3,"June 26, 2019"
574,Chamman,Terrorist Attack,4,"June 9, 2019"
575,Dera Murad Jamali,Terrorist Attack,5,"June 1, 2019"
576,Gawadar,Terrorist Attack,6,"June 1, 2019"
577,Dera Allah Yar,Terrorist Attack,7,"May 15, 2019"
578,Usta Muhammad,Terrorist Attack,8,"May 2, 2019"
579,Sui,Terrorist Attack,9,"April 26, 2019"
580,Sibbi,Terrorist Attack,10,"April 24, 2019"
581,Loralai,Terrorist Attack,8,"April 22, 2019"
582,Tump,Terrorist Attack,8,"April 22, 2019"
583,Nushki,Terrorist Attack,7,"April 21, 2019"
584,Zohb,Terrorist Attack,6,"April 21, 2019"
585,Kharan,Terrorist Attack,5,"April 13, 2019"
586,Chiktan,Terrorist Attack,4,"April 12, 2019"
587,Khanozai,Terrorist Attack,3,"March 23, 2019"
588,Quetta,Terrorist Attack,2,"March 22, 2019"
589,Turbat,Terrorist Attack,1,"March 20, 2019"
590,Khuzdar,Terrorist Attack,11,"March 18, 2019"
591,Chamman,Terrorist Attack,1,"March 18, 2019"
592,Dera Murad Jamali,Terrorist Attack,1,"March 18, 2019"
593,Gawadar,Terrorist Attack,2,"March 17, 2019"
594,Dera Allah Yar,Terrorist Attack,3,"March 17, 2019"
595,Usta Muhammad,Terrorist Attack,4,"March 16, 2019"
596,Sui,Terrorist Attack,5,"March 16, 2019"
597,Sibbi,Terrorist Attack,6,"March 12, 2019"
598,Loralai,Terrorist Attack,7,"March 11, 2019"
599,Tump,Terrorist Attack,8,"March 2, 2019"
600,Nushki,Terrorist Attack,9,"February 21, 2019"
601,Zohb,Terrorist Attack,10,"December 6, 2018"
602,Karachi,Terrorist Attack,1,"November 15, 2018"
603,Hyderabad,Terrorist Attack,2,"November 7, 2018"
604,Sukkur,Terrorist Attack,11,"October 18, 2018"
605,Larkana,Terrorist Attack,13,"October 10, 2018"
606,Nawabshah,Terrorist Attack,14,"September 27, 2018"
607,Kotri,Terrorist Attack,15,"August 25, 2018"
608,Mirpur Khas,Terrorist Attack,16,"August 17, 2018"
609,Shikarpur,Terrorist Attack,17,"July 27, 2018"
610,Jacobabad,Terrorist Attack,18,"July 22, 2018"
611,Khairpur,Terrorist Attack,19,"July 18, 2018"
612,Dadu,Terrorist Attack,9,"July 17, 2018"
613,Tando Allahyar,Terrorist Attack,8,"July 16, 2018"
614,Tando Adam Khan,Terrorist Attack,7,"July 16, 2018"
615,Badin ,Terrorist Attack,6,"July 14, 2018"
616,Umarkot,Terrorist Attack,5,"July 14, 2018"
617,Ghotki,Terrorist Attack,4,"June 21, 2018"
618,Daharki,Terrorist Attack,18,"June 15, 2018"
619,Khipro,Terrorist Attack,19,"June 14, 2018"
620,Ghambat,Terrorist Attack,20,"May 2, 2018"
621,Mehrabpur,Terrorist Attack,11,"May 2, 2018"
622,Thatta,Terrorist Attack,12,"April 27, 2018"
623,Mehar,Terrorist Attack,13,"April 26, 2018"
624,Kashmore,Terrorist Attack,14,"April 16, 2018"
625,Matli,Terrorist Attack,15,"April 6, 2018"
626,Hala,Terrorist Attack,16,"March 1, 2018"
627,Rohri,Terrorist Attack,17,"February 25, 2018"
628,Thul,Terrorist Attack,4,"February 21, 2018"
629,Sanghar,Terrorist Attack,5,"February 13, 2018"
630,Moro,Terrorist Attack,20,"February 9, 2018"
631,Pano Akil,Terrorist Attack,11,"February 9, 2018"
632,Karachi,Terrorist Attack,1,"February 3, 2018"
633,Hyderabad,Terrorist Attack,2,"February 2, 2018"
634,Sukkur,Terrorist Attack,4,"January 31, 2018"
635,Larkana,Terrorist Attack,5,"January 27, 2018"
636,Kotri,Terrorist Attack,9,"January 19, 2018"
637,Mirpur Khas,Terrorist Attack,8,"January 17, 2018"
638,Shikarpur,Terrorist Attack,9,"January 14, 2018"
639,Jacobabad,Terrorist Attack,8,"January 8, 2018"
640,Khairpur,Terrorist Attack,9,"January 1, 2018"
641,Dadu,Terrorist Attack,8,"December 24, 2017"
642,Tando Allahyar,Terrorist Attack,9,"November 17, 2017"
643,Tando Adam Khan,Terrorist Attack,8,"October 30, 2017"
644,Badin ,Terrorist Attack,7,"October 16, 2017"
645,Umarkot,Terrorist Attack,20,"October 14, 2017"
646,Ghotki,Terrorist Attack,21,"October 13, 2017"
647,Daharki,Terrorist Attack,22,"October 11, 2017"
648,Khipro,Terrorist Attack,12,"October 8, 2017"
649,Ghambat,Terrorist Attack,13,"October 7, 2017"
650,Mehrabpur,Terrorist Attack,14,"October 7, 2017"
651,Thatta,Terrorist Attack,15,"October 4, 2017"
652,Mehar,Terrorist Attack,16,"September 26, 2017"
653,Kashmore,Terrorist Attack,17,"September 21, 2017"
654,Matli,Terrorist Attack,18,"September 18, 2017"
655,Hala,Terrorist Attack,19,"September 14, 2017"
656,Rohri,Terrorist Attack,7,"August 13, 2017"
657,Thul,Terrorist Attack,8,"July 26, 2017"
658,Sanghar,Terrorist Attack,9,"July 7, 2017"
659,Moro,Terrorist Attack,11,"July 1, 2017"
660,Pano Akil,Terrorist Attack,12,"June 30, 2017"
661,Karachi,Terrorist Attack,1,"June 26, 2017"
662,Karachi,Terrorist Attack,5,"June 25, 2017"
663,Hyderabad,Terrorist Attack,6,"June 25, 2017"
664,Sukkur,Terrorist Attack,7,"June 23, 2017"
665,Larkana,Terrorist Attack,8,"June 22, 2017"
666,Kotri,Terrorist Attack,9,"June 15, 2017"
667,Mirpur Khas,Terrorist Attack,10,"June 8, 2017"
668,Shikarpur,Terrorist Attack,11,"May 26, 2017"
669,Jacobabad,Terrorist Attack,12,"May 24, 2017"
670,Khairpur,Terrorist Attack,13,"May 10, 2017"
671,Dadu,Terrorist Attack,14,"May 8, 2017"
672,Tando Allahyar,Terrorist Attack,15,"May 6, 2017"
673,Tando Adam Khan,Terrorist Attack,16,"April 16, 2017"
674,Badin ,Terrorist Attack,17,"April 4, 2017"
675,Umarkot,Terrorist Attack,18,"March 30, 2017"
676,Ghotki,Terrorist Attack,19,"March 26, 2017"
677,Daharki,Terrorist Attack,19,"March 23, 2017"
678,Khipro,Terrorist Attack,16,"March 15, 2017"
679,Mehrabpur,Terrorist Attack,17,"March 14, 2017"
680,Thatta,Terrorist Attack,14,"March 10, 2017"
681,Mehar,Terrorist Attack,17,"March 9, 2017"
682,Kashmore,Terrorist Attack,13,"March 6, 2017"
683,Matli,Terrorist Attack,12,"February 28, 2017"
684,Hala,Terrorist Attack,11,"February 25, 2017"
685,Rohri,Terrorist Attack,10,"February 23, 2017"
686,Thul,Terrorist Attack,9,"February 23, 2017"
687,Sanghar,Terrorist Attack,8,"February 22, 2017"
688,Moro,Terrorist Attack,7,"February 21, 2017"
689,Pano Akil,Terrorist Attack,6,"February 20, 2017"
690,Karachi,Terrorist Attack,5,"February 19, 2017"
691,Hyderabad,Terrorist Attack,6,"February 18, 2017"
692,Sukkur,Terrorist Attack,7,"February 16, 2017"
693,Larkana,Terrorist Attack,8,"February 8, 2017"
694,Kotri,Terrorist Attack,9,"February 7, 2017"
695,Mirpur Khas,Terrorist Attack,10,"February 7, 2017"
696,Shikarpur,Terrorist Attack,11,"February 2, 2017"
697,Jacobabad,Terrorist Attack,12,"February 2, 2017"
698,Khairpur,Terrorist Attack,14,"January 26, 2017"
699,Dadu,Terrorist Attack,11,"January 16, 2017"
700,Tando Allahyar,Terrorist Attack,11,"January 11, 2017"
701,Tando Adam Khan,Terrorist Attack,11,"January 4, 2017"
702,Badin ,Terrorist Attack,10,"December 31, 2016"
703,Umarkot,Terrorist Attack,9,"December 31, 2016"
704,Ghotki,Terrorist Attack,8,"December 21, 2016"
705,Daharki,Terrorist Attack,7,"December 18, 2016"
706,Khipro,Terrorist Attack,6,"December 12, 2016"
707,Mehrabpur,Terrorist Attack,10,"November 29, 2016"
708,Thatta,Terrorist Attack,12,"November 28, 2016"
709,Mehar,Terrorist Attack,11,"November 28, 2016"
710,Kashmore,Terrorist Attack,12,"November 27, 2016"
711,Matli,Terrorist Attack,11,"November 26, 2016"
712,Hala,Terrorist Attack,12,"November 23, 2016"
713,Rohri,Terrorist Attack,9,"November 18, 2016"
714,Thul,Terrorist Attack,8,"November 18, 2016"
715,Sanghar,Terrorist Attack,7,"November 17, 2016"
716,Moro,Terrorist Attack,6,"November 10, 2016"
717,Pano Akil,Terrorist Attack,11,"November 2, 2016"
718,Karachi,Terrorist Attack,3,"October 31, 2016"
719,Hyderabad,Terrorist Attack,4,"October 30, 2016"
720,Sukkur,Terrorist Attack,5,"October 30, 2016"
721,Larkana,Terrorist Attack,6,"October 25, 2016"
722,Kotri,Terrorist Attack,7,"October 19, 2016"
723,Mirpur Khas,Terrorist Attack,8,"October 7, 2016"
724,Shikarpur,Terrorist Attack,9,"October 6, 2016"
725,Jacobabad,Terrorist Attack,10,"October 6, 2016"
726,Khairpur,Terrorist Attack,11,"October 5, 2016"
727,Dadu,Terrorist Attack,12,"October 5, 2016"
728,Tando Allahyar,Terrorist Attack,11,"September 30, 2016"
729,Tando Adam Khan,Terrorist Attack,13,"September 28, 2016"
730,Badin,Terrorist Attack,14,"September 28, 2016"
731,Umarkot,Terrorist Attack,15,"September 28, 2016"
732,Ghotki,Terrorist Attack,16,"September 28, 2016"
733,Daharki,Terrorist Attack,17,"September 24, 2016"
734,Khipro,Terrorist Attack,18,"September 21, 2016"
735,Mehrabpur,Terrorist Attack,19,"September 7, 2016"
736,Thatta,Terrorist Attack,11,"September 6, 2016"
737,Mehar,Terrorist Attack,12,"September 2, 2016"
738,Kashmore,Terrorist Attack,9,"September 1, 2016"
739,Matli,Terrorist Attack,8,"August 30, 2016"
740,Hala,Terrorist Attack,7,"August 30, 2016"
741,Rohri,Terrorist Attack,15,"August 27, 2016"
742,Thul,Terrorist Attack,14,"August 27, 2016"
743,Sanghar,Terrorist Attack,13,"August 27, 2016"
744,Moro,Terrorist Attack,12,"August 26, 2016"
745,Pano Akil,Terrorist Attack,11,"August 19, 2016"
746,Karachi,Terrorist Attack,10,"August 13, 2016"
747,Hyderabad,Terrorist Attack,9,"August 12, 2016"
748,Sukkur,Terrorist Attack,8,"August 12, 2016"
749,Larkana,Terrorist Attack,7,"August 10, 2016"
750,Kotri,Terrorist Attack,11,"August 9, 2016"
751,Mirpur Khas,Terrorist Attack,11,"August 9, 2016"
752,Shikarpur,Terrorist Attack,10,"August 8, 2016"
753,Jacobabad,Terrorist Attack,9,"August 2, 2016"
754,Dadu,Terrorist Attack,8,"July 28, 2016"
755,Tando Allahyar,Terrorist Attack,7,"July 24, 2016"
756,Tando Adam Khan,Terrorist Attack,6,"July 15, 2016"
757,Badin,Terrorist Attack,5,"July 3, 2016"
758,Umarkot,Terrorist Attack,14,"June 25, 2016"
759,Ghokti,Terrorist Attack,13,"June 24, 2016"
760,Daharki,Terrorist Attack,12,"June 14, 2016"
761,Khipro,Terrorist Attack,11,"June 12, 2016"
762,Mehrabpur,Terrorist Attack,10,"June 4, 2016"
763,Thatta,Terrorist Attack,9,"June 1, 2016"
764,Mehar,Terrorist Attack,8,"May 27, 2016"
765,Kashmore,Terrorist Attack,7,"May 25, 2016"
766,Matli,Terrorist Attack,6,"May 17, 2016"
767,Hala,Terrorist Attack,1,"May 15, 2016"
768,Rohri,Terrorist Attack,2,"May 12, 2016"
769,Thul,Terrorist Attack,2,"April 22, 2016"
770,Sanghar,Terrorist Attack,3,"April 14, 2016"
771,Moro,Terrorist Attack,4,"April 13, 2016"
772,Pano Akil,Terrorist Attack,5,"April 12, 2016"
773,Karachi,Terrorist Attack,6,"April 6, 2016"
774,Hyderabad,Terrorist Attack,7,"April 1, 2016"
775,Sukkur,Terrorist Attack,6,"March 30, 2016"
776,Larkana,Terrorist Attack,7,"March 28, 2016"
777,Kotri,Terrorist Attack,8,"March 23, 2016"
778,Mirpur Khas,Terrorist Attack,9,"March 17, 2016"
779,Shikarpur,Terrorist Attack,11,"March 14, 2016"
780,Jacobabad,Terrorist Attack,12,"February 27, 2016"
781,Dadu,Terrorist Attack,13,"January 29, 2016"
782,Tando Allahyar,Terrorist Attack,14,"January 3, 2016"
783,Tando Adam Khan,Terrorist Attack,15,"December 26, 2015"
784,Badin,Terrorist Attack,9,"December 16, 2015"
785,Umarkot,Terrorist Attack,8,"December 15, 2015"
786,Ghokti,Terrorist Attack,7,"December 1, 2015"
787,Daharki,Terrorist Attack,6,"November 25, 2015"
788,Mehrabpur,Terrorist Attack,10,"November 25, 2015"
789,Thatta,Terrorist Attack,9,"November 23, 2015"
790,Mehar,Terrorist Attack,8,"November 21, 2015"
791,Kashmore,Terrorist Attack,7,"November 21, 2015"
792,Matli,Terrorist Attack,11,"November 17, 2015"
793,Hala,Terrorist Attack,12,"November 15, 2015"
794,Rohri,Terrorist Attack,13,"November 14, 2015"
795,Thul,Terrorist Attack,14,"October 29, 2015"
796,Sanghar,Terrorist Attack,15,"October 23, 2015"
797,Moro,Terrorist Attack,11,"October 22, 2015"
798,Pano Akil,Terrorist Attack,6,"October 16, 2015"
799,Karachi,Terrorist Attack,7,"September 19, 2015"
800,Matli,Terrorist Attack,8,"August 5, 2015"
801,Hala,Terrorist Attack,9,"July 31, 2015"
802,Kasur,Terrorist Attack,7,"July 18, 2015"
803,Sarghoda,Terrorist Attack,6,"July 13, 2015"
804,Sahiwal,Terrorist Attack,5,"June 27, 2015"
805,Amritsar,Terrorist Attack,4,"June 17, 2015"
806,Okara,Terrorist Attack,11,"June 8, 2015"
807,Muzaffarghar,Terrorist Attack,12,"June 8, 2015"
808,Ludhiana,Terrorist Attack,13,"June 3, 2015"
809,Rahim Yar Khan,Terrorist Attack,14,"May 26, 2015"
810,Jalandar,Terrorist Attack,1,"May 15, 2015"
811,kapurthala,Terrorist Attack,5,"May 14, 2015"
812,Patiala,Terrorist Attack,12,"April 25, 2015"
813,Bahawalnaga,Terrorist Attack,13,"April 23, 2015"
814,Pakpattan,Terrorist Attack,14,"April 18, 2015"
815,Vehari,Terrorist Attack,15,"April 8, 2015"
816,Khanpur,Terrorist Attack,1,"April 1, 2015"
817,Daska,Terrorist Attack,6,"March 26, 2015"
818,Jaranwala,Terrorist Attack,11,"March 16, 2015"
819,Gojra,Terrorist Attack,12,"March 14, 2015"
820,Barnala,Terrorist Attack,13,"March 14, 2015"
821,Moga,Terrorist Attack,14,"February 25, 2015"
822,Sunam,Terrorist Attack,15,"February 23, 2015"
823,Pattoki,Terrorist Attack,16,"February 23, 2015"
824,Batala,Terrorist Attack,17,"February 9, 2015"
825,Rajpura,Terrorist Attack,18,"February 6, 2015"
826,Taxila,Terrorist Attack,19,"February 4, 2015"
827,Rupnagar,Terrorist Attack,20,"January 30, 2015"
828,Kamoke,Terrorist Attack,9,"January 26, 2015"
829,Kasur,Terrorist Attack,8,"January 13, 2015"
830,Sarghoda,Terrorist Attack,7,"January 8, 2015"
831,Sahiwal,Terrorist Attack,6,"January 5, 2015"
832,Amritsar,Terrorist Attack,5,"December 29, 2014"
833,Okara,Terrorist Attack,13,"December 19, 2014"
834,Muzaffarghar,Terrorist Attack,14,"December 18, 2014"
835,Ludhiana,Terrorist Attack,15,"December 17, 2014"
836,Rahim Yar Khan,Terrorist Attack,16,"December 16, 2014"
837,Jalandar,Terrorist Attack,11,"December 16, 2014"
838,kapurthala,Terrorist Attack,10,"December 1, 2014"
839,Patiala,Terrorist Attack,9,"November 24, 2014"
840,kapurthala,Terrorist Attack,8,"November 22, 2014"
841,Bahawalnagar,Terrorist Attack,7,"November 12, 2014"
842,Pakpattan,Terrorist Attack,6,"November 10, 2014"
843,Vehari,Terrorist Attack,11,"November 7, 2014"
844,Khanpur,Terrorist Attack,12,"November 3, 2014"
845,Daska,Terrorist Attack,14,"September 16, 2014"
846,Jaranwala,Terrorist Attack,16,"September 6, 2014"
847,Gojra,Terrorist Attack,11,"August 19, 2014"
848,Barnala,Terrorist Attack,12,"August 9, 2014"
849,Moga,Terrorist Attack,9,"July 21, 2014"
850,Sunam,Terrorist Attack,8,"June 24, 2014"
851,Pattoki,Terrorist Attack,7,"June 11, 2014"
852,Batala,Terrorist Attack,11,"June 11, 2014"
853,Taxila,Terrorist Attack,14,"June 4, 2014"
854,Rupnagar,Terrorist Attack,15,"May 27, 2014"
855,Taxila,Terrorist Attack,16,"May 19, 2014"
856,Kamoke,Terrorist Attack,17,"May 8, 2014"
857,Kasur,Terrorist Attack,18,"May 5, 2014"
858,Sarghoda,Terrorist Attack,19,"April 28, 2014"
859,Sahiwal,Terrorist Attack,9,"April 27, 2014"
860,Amritsar,Terrorist Attack,8,"April 24, 2014"
861,Okara,Terrorist Attack,7,"April 20, 2014"
862,Muzaffarghar,Terrorist Attack,6,"April 7, 2014"
863,Ludhiana,Terrorist Attack,10,"April 1, 2014"
864,Rahim Yar Khan,Terrorist Attack,6,"March 31, 2014"
865,Jalandar,Terrorist Attack,5,"March 20, 2014"
866,kapurthala,Terrorist Attack,4,"March 15, 2014"
867,Patiala,Terrorist Attack,11,"March 4, 2014"
868,kapurthala,Terrorist Attack,1,"February 28, 2014"
869,Bahawalnagar,Terrorist Attack,12,"February 23, 2014"
870,Pakpattan,Terrorist Attack,11,"February 21, 2014"
871,Vehari,Terrorist Attack,13,"February 20, 2014"
872,Khanpur,Terrorist Attack,14,"February 14, 2014"
873,Jaranwala,Terrorist Attack,15,"February 14, 2014"
874,Gojra,Terrorist Attack,16,"February 12, 2014"
875,Barnala,Terrorist Attack,17,"February 12, 2014"
876,Moga,Terrorist Attack,18,"February 11, 2014"
877,Sunam,Terrorist Attack,15,"February 10, 2014"
878,Pattoki,Terrorist Attack,14,"February 6, 2014"
879,Batala,Terrorist Attack,9,"February 3, 2014"
880,Taxila,Terrorist Attack,8,"January 30, 2014"
881,Rupnagar,Terrorist Attack,7,"January 24, 2014"
882,Taxila,Terrorist Attack,6,"January 21, 2014"
883,Kamoke,Terrorist Attack,5,"January 20, 2014"
884,Kasur,Terrorist Attack,11,"January 19, 2014"
885,Sarghoda,Terrorist Attack,12,"December 19, 2013"
886,Sahiwal,Terrorist Attack,10,"December 24, 2022"
887,Amritsar,Terrorist Attack,9,"December 7, 2022"
888,Okara,Terrorist Attack,8,"December 5, 2022"
889,Muzaffarghar,Terrorist Attack,7,"December 5, 2022"
890,Ludhiana,Terrorist Attack,6,"December 3, 2022"
891,Rahim Yar Khan,Terrorist Attack,11,"December 2, 2022"
892,Jalandar,Terrorist Attack,12,"December 1, 2022"
893,kapurthala,Terrorist Attack,14,"December 1, 2022"
894,Patiala,Terrorist Attack,15,"November 21, 2022"
895,kapurthala,Terrorist Attack,11,"November 15, 2022"
896,Bahawalnagar,Terrorist Attack,16,"November 15, 2022"
897,Pakpattan,Terrorist Attack,17,"November 12, 2022"
898,Vehari,Terrorist Attack,12,"November 1, 2022"
899,Khanpur,Terrorist Attack,11,"October 30, 2022"
900,Jaranwala,Terrorist Attack,10,"October 29, 2022"
901,Gojra,Terrorist Attack,9,"October 20, 2022"
902,Barnala,Terrorist Attack,8,"October 18, 2022"
903,Moga,Terrorist Attack,7,"October 13, 2022"
904,Sunam,Terrorist Attack,11,"October 12, 2022"
905,Pattoki,Terrorist Attack,12,"October 12, 2022"
906,Batala,Terrorist Attack,15,"October 12, 2022"
907,Taxila,Terrorist Attack,16,"October 2, 2022"
908,Rupnagar,Terrorist Attack,11,"September 24, 2022"
909,Taxila,Terrorist Attack,12,"September 21, 2022"
910,Kamoke,Terrorist Attack,1,"September 10, 2022"
911,Kasur,Terrorist Attack,1,"September 7, 2022"
912,Sarghoda,Terrorist Attack,11,"September 7, 2022"
913,Sahiwal,Terrorist Attack,12,"August 20, 2022"
914,Amritsar,Terrorist Attack,13,"August 18, 2022"
915,Okara,Terrorist Attack,14,"August 10, 2022"
916,Muzaffarghar,Terrorist Attack,15,"August 8, 2022"
917,Rahim Yar Khan,Terrorist Attack,16,"August 4, 2022"
918,Jalandar,Terrorist Attack,17,"August 2, 2022"
919,kapurthala,Terrorist Attack,18,"July 26, 2022"
920,Bahawalnagar,Terrorist Attack,19,"June 24, 2022"
921,Pakpattan,Terrorist Attack,9,"May 21, 2022"
922,Vehari,Terrorist Attack,8,"May 19, 2022"
923,Khanpur,Terrorist Attack,7,"May 18, 2022"
924,Jaranwala,Terrorist Attack,6,"May 18, 2022"
925,Gojra,Terrorist Attack,5,"May 17, 2022"
926,Barnala,Terrorist Attack,4,"May 6, 2022"
927,Moga,Terrorist Attack,2,"April 19, 2022"
928,Sunam,Terrorist Attack,1,"April 19, 2022"
929,Pattoki,Terrorist Attack,11,"April 14, 2022"
930,Batala,Terrorist Attack,12,"March 20, 2022"
931,Taxila,Terrorist Attack,13,"March 13, 2022"
932,Rupnagar,Terrorist Attack,14,"February 13, 2022"
933,Taxila,Terrorist Attack,7,"February 8, 2022"
934,Kamoke,Terrorist Attack,8,"February 6, 2022"
935,Kasur,Terrorist Attack,4,"February 6, 2022"
936,Sarghoda,Terrorist Attack,3,"February 3, 2022"
937,Sahiwal,Terrorist Attack,2,"February 3, 2022"
938,Amritsar,Terrorist Attack,6,"February 2, 2022"
939,Okara,Terrorist Attack,7,"January 30, 2022"
940,Muzaffarghar,Terrorist Attack,8,"January 28, 2022"
941,Rahim Yar Khan,Terrorist Attack,9,"January 18, 2022"
942,Jalandar,Terrorist Attack,6,"January 12, 2022"
943,kapurthala,Terrorist Attack,5,"January 8, 2022"
944,Bahawalnagar,Terrorist Attack,3,"November 24, 2021"
945,Pakpattan,Terrorist Attack,9,"November 2, 2021"
946,Vehari,Terrorist Attack,1,"October 26, 2021"
947,Khanpur,Terrorist Attack,11,"October 18, 2021"
948,Jaranwala,Terrorist Attack,1,"October 12, 2021"
949,Gojra,Terrorist Attack,2,"October 11, 2021"
950,Barnala,Terrorist Attack,7,"October 5, 2021"
951,Moga,Terrorist Attack,8,"September 30, 2021"
952,Sunam,Terrorist Attack,9,"September 26, 2021"
953,Pattoki,Terrorist Attack,8,"September 25, 2021"
954,Barnala,Terrorist Attack,5,"September 25, 2021"
955,Batala,Terrorist Attack,3,"September 20, 2021"
956,Taxila,Terrorist Attack,6,"September 12, 2021"
957,Kamoke,Terrorist Attack,3,"September 8, 2021"
958,Kasur,Terrorist Attack,2,"September 8, 2021"
959,Sarghoda,Terrorist Attack,1,"September 6, 2021"
960,Sahiwal,Terrorist Attack,1,"September 3, 2021"
961,Amritsar,Terrorist Attack,1,"September 2, 2021"
962,Okara,Terrorist Attack,1,"August 31, 2021"
963,Muzaffarghar,Terrorist Attack,11,"August 30, 2021"
964,Rahim Yar Khan,Terrorist Attack,11,"August 27, 2021"
965,Jalandar,Terrorist Attack,1,"August 24, 2021"
966,kapurthala,Terrorist Attack,3,"August 17, 2021"
967,Bahawalnagar,Terrorist Attack,4,"August 17, 2021"
